architecture,algorithm,compiler,optimization,filename,function_name,function_address,detail_label,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,chacha20_rounds,10000,ChaCha20,XOR,3,3,2,0,0,0,63,1,3,189,1.338638983,0.102174976,1,378,21.33333333,0.160523187,0.078478002,0.130796671,0.038049941,0,0.114149822,1,2,0,21.33333333,0,0,0,0,0,0,76,162,128,179,0.130796671,6.124460549,2.646620946,0.010582011,80
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,poly_blocks,10218,Poly1305,XOR,5,6,3,0,0,0,50.6,1,5,253,1.23297486,0.059829374,1,442,1.5,0.228688525,0.009836066,0.112295082,0,0.033606557,0.01147541,2,4,0,1.5,0,0,0,0,0,0,168,26,14,340,0.112295082,6.225539982,2.451353637,0.011857708,100
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,blake2b_compress,1040000,Blake2b,SHA,3,3,2,0,0,0,1727.333333,1,3,5182,1.055336836,0.052474509,1,26102,0,0.113470489,0.070753808,0.049987606,0.022198353,0,0.063951087,1,2,0,0,0,0,0,0,0,0,360,4891,3127,5285,0.049987606,6.509269617,2.350630697,0.000385951,217
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,g_rounds,14160,Non-Crypto,Non-Crypto,5,6,3,0,0,0,232.2,1,5,1161,1.17050727,0.06191982,1,5344,69.33333333,0.124426028,0.046813753,0.045693807,0.014335312,0.007167656,0.04311793,2,4,0,69.33333333,0,0,0,0,0,0,184,803,513,1442,0.045693807,6.416784813,2.315687787,0.002583979,169
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,fe_frombytes_mask,00014f8c,Curve25519,ECC,1,0,1,0,0,0,179,1,1,179,1.059005479,0.142459655,1,1312,0,0.08458542,0.056761269,0.033388982,0,0,0.085698386,0,0,0,0,0,0,1,0,0,0,52,256,140,251,0.033388982,6.266691377,2.258928129,0.005586592,113
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,fe_tobytes,000151d4,Curve25519,ECC,7,9,4,0,0,0,10.57142857,1,7,74,0.988258438,0.093046932,1,346,0.666666667,0.127118644,0.065677966,0.125,0,0.004237288,0.086864407,3,6,0,0.666666667,0,0,1,0,0,0,72,72,35,95,0.125,6.167487591,2.649772733,0.054054054,61
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,fe_mul_small,000152ac,Curve25519,ECC,1,0,1,0,0,0,132,1,1,132,1.06165894,0.15085885,1,964,0,0.085884989,0.058252427,0.032860344,0,0.00746826,0.092606423,0,0,0,0,0,0,1,0,0,0,52,202,109,205,0.032860344,6.299859634,2.357798052,0.007575758,80
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,fe_mul,0001545c,Curve25519,ECC,1,0,1,0,0,0,453,1,1,453,1.359150259,0.134771843,1,1334,0,0.1531659,0.058365759,0.087725504,0,0.038556774,0.076406084,0,0,0,0,0,0,1,0,0,0,188,381,205,627,0.087725504,6.53308336,2.580752136,0.002207506,107
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,fe_sq,15980,Curve25519,ECC,1,0,1,0,0,0,306,1,1,306,1.211159801,0.137022398,1,1440,0,0.126921388,0.055775143,0.065436978,0,0.026350461,0.081247255,0,0,0,0,0,0,1,0,0,0,128,312,174,441,0.065436978,6.43806736,2.518465885,0.003267974,123
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,multiply,00015d2c,Non-Crypto,Non-Crypto,5,6,3,1,1,0.166666667,5,1,3,25,0.851867034,0.023809524,1,70,0.166666667,0.138554217,0.018072289,0.126506024,0,0.006024096,0.006024096,2,4,1,0.166666667,0,0,0,0,0,0,0,4,1,37,0.126506024,5.26664829,2.391547123,0.12,23
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,ge_zero,00015d7c,EdDSA,ECC,1,4,5,0,0,0,23,0,2,23,1.279278755,0.027522936,1,76,0,0.100917431,0.027522936,0.128440367,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,17,0.128440367,4.65143986,2.148489319,0.217391304,13
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,slide_step,00015dbc,Non-Crypto,Non-Crypto,14,20,8,4,3,0.2,6.214285714,1,12,87,0.666602229,0.082258432,1,544,0.6,0.049557522,0.063716814,0.042477876,0,0,0.047787611,7,13,4,0.6,0,0,0,0,0,0,0,63,10,62,0.042477876,6.103731056,1.933480766,0.091954023,75
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,add_xl,00015eac,Non-Crypto,Non-Crypto,3,3,2,0,0,0,5.666666667,1,3,17,1.172383836,0.064765034,1,40,0.333333333,0.148514851,0.03960396,0.108910891,0,0.00990099,0.00990099,1,2,0,0.333333333,0,0,0,0,0,0,0,5,1,21,0.108910891,5.136842188,2.412159725,0.117647059,16
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,crypto_poly1305_update,00015ee0,Poly1305,XOR,10,16,8,3,3,0.1875,5.9,1,11,59,0.880831537,0.032488996,1,206,0.3125,0.092198582,0.028368794,0.074468085,0,0,0.014184397,5,11,3,0.3125,0,0,0,0,0,0,0,12,4,44,0.074468085,5.686251578,1.987665092,0.13559322,46
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,remove_l,00015f6c,Non-Crypto,Non-Crypto,5,6,3,0,0,0,6.4,1,5,32,0.813770337,0.024924925,1,104,0.166666667,0.128888889,0.013333333,0.066666667,0,0,0,2,4,0,0.166666667,0,0,0,0,0,0,0,3,0,39,0.066666667,5.438843097,1.988719151,0.09375,26
arm32,monocypher.o,gcc,O2,monocypher_arm32_O2.o_features.json,redc,00015fcc,Non-Crypto,Non-Crypto,12,20,10,3,3,0.15,7.083333333,1,12,85,0.849556489,0.02269305,1,222,0.05,0.131979695,0.017766497,0.078680203,0,0.002538071,0.005076142,5,15,3,0.05,0,0,0,0,0,0,144,9,2,70,0.078680203,5.970548764,2.166514196,0.117647059,61
