architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,_init,000103d0,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,1.6774772291979683,0.1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,__libc_start_main,000103f0,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,1.756807370791777,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,__cxa_finalize,000103fc,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,1.6979838413800126,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,printf,00010408,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,1.7273956060858948,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,putchar,00010420,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,1.7568073707917775,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,abort,0001042c,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,1.756807370791777,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,_start,00010438,Non-Crypto,1,2,3,2,0,1.0,15.0,1,3,0,0,0,0,15,1.2535513648649048,0.041666666666666664,30,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,call_weak_fn,0001046c,Non-Crypto,3,3,2,1,0,0.3333333333333333,3.3333333333333335,0,4,0,0,0,0,10,1.0786921515408305,0.07619047619047618,48,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,deregister_tm_clones,00010490,Non-Crypto,4,5,3,0,0,0.0,3.25,1,5,0,0,0,0,13,1.4262800955140325,0.16666666666666666,20,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,register_tm_clones,000104bc,Non-Crypto,4,5,3,0,0,0.0,4.0,1,5,0,0,0,0,16,1.2866814467949552,0.20295698924731181,86,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,__do_global_dtors_aux,000104f0,Non-Crypto,5,8,5,2,0,0.25,4.0,2,7,0,0,0,0,20,1.419996549461837,0.06583333333333333,40,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,AES128_Encrypt,00010534,AES-128,3,12,11,0,0,0.0,15.666666666666666,0,8,0,0,0,0,47,1.4402534235128186,0.05014675804180944,154,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,KeyExpansion,000105f0,AES-128,5,6,3,1,0,0.16666666666666666,10.4,1,3,0,0,0,0,52,1.229778067192851,0.07865941248294189,226,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,AddRoundKey,000106c8,AES-128,3,3,2,0,0,0.0,3.0,1,3,0,0,0,0,9,0.9093669845351747,0.1685185185185185,74,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,SubBytes,000106ec,AES-128,3,3,2,0,0,0.0,3.3333333333333335,1,3,0,0,0,0,10,1.2473649722619304,0.14487179487179488,77,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,ShiftRows,00010718,AES-128,1,0,1,0,0,0.0,26.0,1,1,0,0,0,0,26,1.4267079882778126,0.02040816326530612,38,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,0,0,0.0,0,0,0,0
