architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,_init,000103f0,Non-Crypto,1,1,2,0,0,0,3,1,2,0,0,0,0,3,1.677477229,0.1,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,__libc_start_main,10410,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,__cxa_finalize,0001041c,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,printf,10428,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,memcpy,10434,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,strlen,0001044c,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,abort,10458,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,_start,10464,Non-Crypto,1,2,3,2,0,1,15,1,3,0,0,0,0,15,1.253551365,0.041666667,30,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,call_weak_fn,10498,Non-Crypto,3,3,2,1,0,0.333333333,3.333333333,0,4,0,0,0,0,10,1.078692152,0.076190476,48,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,deregister_tm_clones,000104bc,Non-Crypto,4,5,3,0,0,0,3.25,1,5,0,0,0,0,13,1.426280096,0.166666667,20,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,register_tm_clones,1.04E+10,Non-Crypto,4,5,3,0,0,0,4,1,5,0,0,0,0,16,1.286681447,0.202956989,86,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,__do_global_dtors_aux,0001051c,Non-Crypto,5,8,5,2,0,0.25,4,2,7,0,0,0,0,20,1.431511052,0.065833333,40,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O0.elf,sha1_arm_clang_O0.elf,main,10560,Non-Crypto,4,12,10,6,0,0.5,12.5,1,8,0,0,0,0,50,1.495127251,0.053579235,170,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,SHA-1,clang,O0.elf,sha1_arm_clang_O0.elf,sha1_init_alt,0001063c,SHA-1,1,0,1,0,0,0,31,1,1,0,0,0,0,31,1.674863961,0.210526316,72,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,SHA-1,clang,O0.elf,sha1_arm_clang_O0.elf,sha1_update_alt,000106b8,SHA-1,9,13,6,2,0,0.153846154,7.555555556,1,5,0,0,0,0,68,1.19216868,0.040852148,140,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,SHA-1,clang,O0.elf,sha1_arm_clang_O0.elf,sha1_final_alt,000107c8,SHA-1,15,21,8,4,0,0.19047619,8.866666667,1,12,0,0,0,0,133,1.153123398,0.058925127,636,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,SHA-1,clang,O0.elf,sha1_arm_clang_O0.elf,sha1_compress,000109dc,SHA-1,19,24,7,3,0,0.125,9.263157895,1,7,0,0,0,0,176,1.099319242,0.083311388,478,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O1.elf,sha1_arm_clang_O1.elf,_init,10410,Non-Crypto,1,1,2,0,0,0,3,1,2,0,0,0,0,3,1.622981052,0.1,6,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O1.elf,sha1_arm_clang_O1.elf,__libc_start_main,10430,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O1.elf,sha1_arm_clang_O1.elf,__cxa_finalize,0001043c,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O1.elf,sha1_arm_clang_O1.elf,printf,10448,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O1.elf,sha1_arm_clang_O1.elf,memcpy,10454,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
arm,Non-Crypto,clang,O1.elf,sha1_arm_clang_O1.elf,puts,10460,Non-Crypto,1,1,2,0,0,0,3,0,2,0,0,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
