function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
FUN_08049000,08049000,x86,gcc,O3,1,1,0,0,3,4,3,0,0,0.0,3.6666666666666665,1,4,11,1.6636424757554875,0.10833333333333334,48.0,1,0.07272727272727272,0.16363636363636364,0.09090909090909091,0.0,0.0,0.0,0,0,4,9,9,8,0.09090909090909091,4.135891110799899,2.55416616467352,0.2727272727272727,9,unknown,1,3,0,1.75,unknown,1,unknown
FUN_080490e9,080490e9,x86,gcc,O3,1,1,0,0,9,17,10,3,3,0.17647058823529413,4.222222222222222,0,8,38,1.4033956177528382,0.19091989901947826,158.0,8,0.05952380952380952,0.16666666666666666,0.10714285714285714,0.011904761904761904,0.0,0.0,0,0,4,28,30,19,0.10714285714285714,5.232542778828182,2.3075608089238915,0.2631578947368421,22,unknown,5,12,3,1.0,unknown,1,unknown
FUN_0804916f,0804916f,x86,gcc,O3,1,1,0,0,24,42,20,0,0,0.0,4.708333333333333,2,30,113,1.5656738964748407,0.1259547605875289,456.0,18,0.07857142857142857,0.1375,0.12321428571428572,0.0125,0.0017857142857142857,0.0,0,0,176,77,84,89,0.12321428571428572,5.131566908622508,2.507968977310195,0.17699115044247787,46,unknown,12,30,0,1.0952380952380953,unknown,1,unknown
FUN_08049339,08049339,x86,gcc,O3,1,1,0,0,10,19,11,5,5,0.2631578947368421,3.5,0,9,35,1.43201187078047,0.17935206370690243,158.0,9,0.05454545454545454,0.1696969696969697,0.10909090909090909,0.012121212121212121,0.0,0.0,0,0,4,28,30,19,0.10909090909090909,5.233073675069245,2.3614070899657396,0.3142857142857143,24,unknown,5,14,5,0.8947368421052632,unknown,1,unknown
FUN_08049660,08049660,x86,gcc,O3,1,1,0,0,6,12,8,1,1,0.08333333333333333,5.833333333333333,0,6,35,1.4279375973066066,0.10664661728242841,98.0,6,0.10416666666666667,0.1111111111111111,0.13194444444444445,0.0,0.006944444444444444,0.0,1,0,4,16,16,25,0.13194444444444445,5.514769527198645,2.523237669024032,0.22857142857142856,26,unknown,4,8,1,1.1666666666666667,unknown,1,unknown
FUN_080496c0,080496c0,x86,gcc,O3,1,1,0,0,6,11,7,2,2,0.18181818181818182,5.666666666666667,1,9,34,1.3029047332621835,0.09580920871243452,104.0,5,0.07692307692307693,0.13986013986013987,0.1258741258741259,0.006993006993006993,0.0,0.0,0,0,20,20,21,21,0.1258741258741259,5.360371570797598,2.4959041509996545,0.20588235294117646,27,unknown,3,8,2,1.8181818181818181,unknown,1,unknown
FUN_08049710,08049710,x86,gcc,O3,1,1,0,0,1,3,4,2,2,0.6666666666666666,16.0,0,3,16,1.8796065491917378,0.09836065573770492,38.0,2,0.13114754098360656,0.09836065573770492,0.14754098360655737,0.0,0.0,0.0,0,0,4,6,6,14,0.14754098360655737,4.38546030426969,2.7491275009298457,0.25,14,unknown,0,3,2,0.0,unknown,1,unknown
entry,08049750,x86,gcc,O3,1,1,0,0,1,2,3,0,0,0.0,17.0,1,3,17,1.8211030987330763,0.13846153846153847,44.0,1,0.046153846153846156,0.12307692307692308,0.16923076923076924,0.015384615384615385,0.0,0.0,0,0,8,8,9,13,0.16923076923076924,4.528283711935156,2.5231236334603495,0.17647058823529413,11,unknown,0,2,0,0.0,unknown,1,unknown
FUN_080497b0,080497b0,x86,gcc,O3,1,1,0,0,4,4,2,0,0,0.0,3.75,2,4,15,1.4790427187969584,0.1422077922077922,46.0,0,0.06666666666666667,0.15,0.1,0.0,0.0,0.0,0,0,4,9,9,9,0.1,4.446439344671015,2.4259662896085166,0.13333333333333333,14,unknown,2,2,0,1.25,unknown,1,unknown
FUN_080497f0,080497f0,x86,gcc,O3,1,1,0,0,4,4,2,0,0,0.0,5.25,2,4,21,1.2065080299751483,0.2121446664790318,136.0,0,0.032467532467532464,0.3246753246753247,0.045454545454545456,0.0,0.0,0.032467532467532464,0,0,4,55,65,13,0.045454545454545456,4.953966680815011,2.4100305785785476,0.09523809523809523,19,unknown,2,2,0,11.5,unknown,1,unknown
